"IncidentNumber","Year","Ward","Borough","PumpCount","PumpHoursTotal","Type","PropertyCategory","RescueType","RescueCost"
"139091",2009,"Crystal Palace & Upper Norwood","Croydon","1","2","Dog","Dwelling","Other animal assistance",510
"275091",2009,"Woodside","Croydon","1","1","Fox","Outdoor Structure","Other animal assistance",255
"2075091",2009,"Carshalton Central","Sutton","1","1","Dog","Outdoor Structure","Animal rescue from below ground",255
"2872091",2009,"Harefield","Hillingdon","1","1","Horse","Non Residential","Animal rescue from water",255
"3553091",2009,"Gooshays","Havering","1","1","Rabbit","Dwelling","Other animal assistance",255
"3742091",2009,"Alibon","Barking And Dagenham","1","1","Unknown","Dwelling","Other animal assistance",255
"4011091",2009,"Cathall","Waltham Forest","1","1","Dog","Outdoor","Other animal assistance",255
"4211091",2009,"Wanstead","Redbridge","1","1","Dog","Outdoor","Animal rescue from water",255
"4306091",2009,"New Addington North","Croydon","1","1","Squirrel","Dwelling","Animal rescue from height",255
"4715091",2009,"Lea Bridge","Hackney","1","1","Dog","Outdoor","Animal rescue from water",255
"5186091",2009,"Cray Valley West","Bromley","1","1","Cat","Outdoor","Animal rescue from height",255
"5363091",2009,"Queenstown","Wandsworth","1","2","Bird","Outdoor","Animal rescue from water",510
"5682091",2009,"Camberwell Green","Southwark","1","1","Dog","Road Vehicle","Other animal assistance",255
"5688091",2009,"Heath","Barking And Dagenham","1","1","Dog","Non Residential","Other animal assistance",255
"5724091",2009,"South Richmond","Richmond Upon Thames","1","1","Cat","Outdoor","Animal rescue from height",255
"5770091",2009,"Woodside","Croydon","1","1","Cat","Outdoor","Animal rescue from height",255
"5789091",2009,"Telegraph Hill","Lewisham","1","1","Cat","Outdoor","Animal rescue from height",255
"5797091",2009,"Streatham South","Lambeth","1","1","Dog","Outdoor","Animal rescue from below ground",255
"6259091",2009,"East Walworth","Southwark","1","1","Unknown","Outdoor","Animal rescue from height",255
"6270091",2009,"Purley","Croydon","1","1","Dog","Outdoor","Other animal assistance",255
"6317091",2009,"East Walworth","Southwark","1","1","Cat","Outdoor","Animal rescue from height",255
"6353091",2009,"Lansbury","Tower Hamlets","1","1","Cat","Dwelling","Other animal assistance",255
"6355091",2009,"Greenhill","Harrow","1","1","Dog","Outdoor","Animal rescue from below ground",255
"6378091",2009,"Thames","Barking And Dagenham","1","1","Cat","Non Residential","Other animal assistance",255
"6400091",2009,"Hendon","Barnet","1","1","Dog","Outdoor","Animal rescue from water",255
"6530091",2009,"Bromley North","Tower Hamlets","1","1","Cat","Outdoor","Animal rescue from height",255
"6970091",2009,"Knightsbridge And Belgravia","Westminster","2","3","Dog","Outdoor","Animal rescue from water",765
"7051091",2009,"Hylands","Havering","1","1","Bird","Outdoor","Animal rescue from height",255
"7613091",2009,"Eastbury","Barking And Dagenham","1","1","Cat","Dwelling","Animal rescue from height",255
"7720091",2009,"Gascoigne","Barking And Dagenham","1","1","Dog","Outdoor","Other animal assistance",255
"8648091",2009,"Whitefoot","Lewisham","1","1","Dog","Dwelling","Other animal assistance",255
"9252091",2009,"Larkhall","Lambeth","1","1","Bird","Outdoor","Animal rescue from height",255
"10299091",2009,"Chiswick Homefields","Hounslow","1","1","Dog","Non Residential","Animal rescue from below ground",255
"10470091",2009,"Norwood Green","Ealing","1","2","Dog","Outdoor Structure","Other animal assistance",510
"10829091",2009,"Haverstock","Camden","1","1","Cat","Dwelling","Animal rescue from below ground",255
"10976091",2009,"Gooshays","Havering","1","1","Cat","Outdoor","Animal rescue from height",255
"12317091",2009,"Valence","Barking And Dagenham","1","1","Dog","Dwelling","Other animal assistance",255
"12451091",2009,"Prince's","Lambeth","2","3","Fox","Outdoor","Animal rescue from water",765
"12533091",2009,"Ham, Petersham And Richmond Riverside","Richmond Upon Thames","1","2","Dog","Outdoor","Animal rescue from below ground",510
"12770091",2009,"St. James","Kingston Upon Thames","1","1","Fox","Dwelling","Other animal assistance",255
"13245091",2009,"Edgware","Harrow","1","1","Bird","Dwelling","Other animal assistance",255
"14002091",2009,"Barnes","Richmond Upon Thames","1","1","Cat","Dwelling","Animal rescue from below ground",255
"14652091",2009,"Hillrise","Islington","1","1","Cat","Outdoor","Animal rescue from below ground",255
"14691091",2009,"Syon","Hounslow","2","3","Dog","Outdoor","Animal rescue from water",765
"14784091",2009,"Woodside","Croydon","1","1","Unknown","Outdoor","Animal rescue from height",255
"14796091",2009,"Sutton Central","Sutton","1","1","Dog","Outdoor","Other animal assistance",255
"15664091",2009,"New Cross","Lewisham","1","1","Squirrel","Non Residential","Animal rescue from height",255
"15682091",2009,"St. Pancras And Somers Town","Camden","1","1","Cat","Dwelling","Animal rescue from height",255
"15865091",2009,"Eltham South","Greenwich","1","1","Dog","Non Residential","Other animal assistance",255
"16245091",2009,"Cann Hall","Waltham Forest","1","2","Cat","Outdoor","Animal rescue from height",510
"16271091",2009,"Penge And Cator","Bromley","1","1","Cat","Dwelling","Animal rescue from height",255
"17262091",2009,"Forest Gate North","Newham","1","1","Unknown","Dwelling","Other animal assistance",255
"17297091",2009,"Faraday","Southwark","1","1","Dog","Dwelling","Other animal assistance",255
"17633091",2009,"Erith","Bexley","1","1","Dog","Outdoor","Animal rescue from water",255
